Gestionnaire;Nom de l'OPC;Type d'OPC;Catégorie;Date;Valeur Liquidative; Actif net 
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE ACTION;FCP;Actions ;31/12/2022;6 472;132 487 526
ATLANTIC ASSET MANAGEMENT;IFC ATLANTIQUE;FCP;Obligataire (OLMT);31/12/2022;1 189 814;7 310 960 421
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE PRESTIGE;FCP;Obligataire (OLMT);31/12/2022;;
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE PLUS;FCP;Obligataire (OLMT);31/12/2022;;
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE OBLIGATIONS;FCP;Obligataire (OLMT);31/12/2022;;
SGO MALI FINANCES;NYESIGUI;FCP;Diversifié;31/12/2022;11 956;518 130 065
SGO MALI FINANCES;ORANGE ML;FCPE;Diversifié;31/12/2022;28 897;3 357 109 214
SGO MALI FINANCES;TOUNKARANKE;FCP;Obligataire (OLMT);31/12/2022;112 585;719 043 603
NSIA ASSET MANAGEMENT;NSIA FONDS DIVERSIFIE;FCP;Diversifié;31/12/2022;5 684;10 806 467 505
NSIA ASSET MANAGEMENT;AURORE OPPORTUNITES;FCP;Actions ;31/12/2022;5 941;1 436 747 118
NSIA ASSET MANAGEMENT;EVOLUTIS;FCPE;Diversifié;31/12/2022;4 403;868 334 864
NSIA ASSET MANAGEMENT;AURORE SECURITE;FCP;Obligataire (OLMT);31/12/2022;5 369;7 444 386 820
NSIA ASSET MANAGEMENT;NSIA ASSURANCES OPTIMUM;FCP;Diversifié;31/12/2022;985 247;3 506 596 935
PHOENIXAFRICA ASSET MANAGEMENT;PAM ACTIONS;FCP;Actions ;31/12/2022;11 887;607 341 717
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE EQUILIBRE;FCP;Diversifié;31/12/2022;13 406;806 635 704
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE OBLIGATIONS;FCP;Diversifié;31/12/2022;12 687;1 897 668 454
SGA2E;SODECI;FCPE;Diversifié;31/12/2022;9 303;19 064 595 794
SGA2E;CIE;FCPE;Diversifié;31/12/2022;7 459;38 009 771 162
OPTI ASSET MANAGEMENT;OPTI PLACEMENT 1;FCP;Actions ;31/12/2022;16 712;803 868 549
OPTI ASSET MANAGEMENT;OPTI REVENU 2;FCP;Obligataire (OLMT);31/12/2022;8 314;8 958 012 582
OPTI ASSET MANAGEMENT;OPTI CAPITAL 3;FCP;Diversifié;31/12/2022;19 273;1 110 951 452
ENKO CAPITAL WEST AFRICA;ENKO CAPITAL GARANTI;FCP;Diversifié;31/12/2022;13 517;971 877 641
ENKO CAPITAL WEST AFRICA;PATRIMOINE;FCP;Obligataire (OLMT);31/12/2022;11 300;26 076 487 111
ENKO CAPITAL WEST AFRICA;ENKO CAPITAL OBLIGATIONS;FCP;Obligataire (OLMT);31/12/2022;10 205;616 298 912
BOA CAPITAL CAM;BOA PREMIUM;FCP;Diversifié;31/12/2022;73 878;157 035 780
BOA CAPITAL CAM;BOA ACTIONS;FCP;Actions ;31/12/2022;11 516;265 043 427
BOA CAPITAL CAM;SAHAM PERFORMANCE;FCP;Actions ;31/12/2022;132 269;328 821 489
BOA CAPITAL CAM;BOA INVESTMENT;FCP;Obligataire (OLMT);31/12/2022;36 500 251;3 535 525 950
BOA CAPITAL CAM;GLOBAL INVESTORS;FCP;Diversifié;31/12/2022;28 875;11 801 634 351
BOA CAPITAL CAM;EMERGENCE;FCP;Diversifié;31/12/2022;7 229;26 726 624 569
BOA CAPITAL CAM;BOA SECURITE;FCP;Obligataire (OLMT);31/12/2022;108 439;29 037 407 517
BOA CAPITAL CAM;BOA OBLIGATIONS;FCP;Obligataire (OLMT);31/12/2022;12 215;45 738 661 445
BOA CAPITAL CAM;BOA RENDEMENT;FCP;Obligataire (OLMT);31/12/2022;33 742 189;46 608 311 383
BNI GESTION;OBLIG SECURITE;FCP;Obligataire (OLMT);31/12/2022;9 703;111 165 446
BNI GESTION;KARIMA ETHIQUE;FCP;Diversifié;31/12/2022;1 472;90 223 271
BNI GESTION;CNRA;FCPE;Diversifié;31/12/2022;3 253;135 646 286
BNI GESTION;INITIATIVE SOLIDARITE;FCP;Diversifié;31/12/2022;4 324;139 278 091
BNI GESTION;BNI RETRAITE;FCPE;Diversifié;31/12/2022;4 144;280 433 624
BNI GESTION;SODEFOR COMPLEMENTAIRE RETRAITE;FCPE;Diversifié;31/12/2022;6 401;588 003 785
BNI GESTION;CAPITAL CROISSANCE;FCP;Diversifié;31/12/2022;;
BNI GESTION;DYNAMIC SAVINGS;FCP;Actions ;31/12/2022;;
CGF GESTION;DIASPORA;FCP;Diversifié;31/12/2022;1 158;157 725 985
CGF GESTION;WALO;FCP;Actions ;31/12/2022;1 170;269 252 399
CGF GESTION;DJOLOF;FCP;Obligataire (OLMT);31/12/2022;1 153;479 274 096
CGF GESTION;SINI GNESIGUI;FCP;Diversifié;31/12/2022;1 495;479 785 035
CGF GESTION;ASSUR SENEGAL;FCP;Diversifié;31/12/2022;1 200 955;1 099 399 161
CGF GESTION;FORCE PAD;FCP;Diversifié;31/12/2022;1 797;1 392 235 169
CGF GESTION;DP WORLD DAKAR;FCP;Diversifié;31/12/2022;1 236;1 594 475 108
CGF GESTION;ACTIONS PHARMACIE;FCP;Diversifié;31/12/2022;1 014;1 769 681 297
CGF GESTION;RENTE PERPETUELLE;FCP;Diversifié;31/12/2022;1 102;1 560 985 844
CGF GESTION;POSTEFINANCES HORIZON;FCP;Diversifié;31/12/2022;1 867;2 796 842 241
CGF GESTION;AL BARAKA;FCP;Actions ;31/12/2022;1 144;3 272 331 777
CGF GESTION;PLACEMENT AVANTAGE;FCP;Monétaire (OCT);31/12/2022;1 552;3 091 330 575
CGF GESTION;EXPAT;FCP;Obligataire (OLMT);31/12/2022;1 135;2 807 295 017
CGF GESTION;BNDE VALEURS;FCP;Actions ;31/12/2022;1 167;5 670 323 039
CGF GESTION;PLACEMENT CROISSANCE;FCP;Actions ;31/12/2022;1 301;3 896 870 907
CGF GESTION;IFC-BOAD;FCP;Obligataire (OLMT);31/12/2022;127 590;6 224 259 065
CGF GESTION;CAPITAL RETRAITE;FCP;Diversifié;31/12/2022;1 142;5 549 041 479
CGF GESTION;AL BARAKA 2;FCP;Diversifié;31/12/2022;1 175;6 278 615 539
CGF GESTION;FCPCR SONATEL;FCPE;Diversifié;31/12/2022;6 980;16 258 454 029
CGF GESTION;LIQUIDITE-OPTIMUM;FCP;Obligataire (OLMT);31/12/2022;12 108;14 448 116 610
CGF GESTION;PLACEMENT QUIETUDE;FCP;Obligataire (OLMT);31/12/2022;1 560;23 243 975 422
EDC ASSET MANAGEMENT;ECOBANK ACTIONS UEMOA;FCP;Actions ;31/12/2022;3 724;553 305 482
EDC ASSET MANAGEMENT;ECOBANK OBLIGATAIRE UEMOA;SICAV;Obligataire (OLMT);31/12/2022;20 672;193 623 678 188
EDC ASSET MANAGEMENT;ECOBANK UEMOA DIVERSIFIE;FCP;Diversifié;31/12/2022;7 408;6 807 843 636
EDC ASSET MANAGEMENT;ECOBANK UEMOA RENDEMENT;FCP;Diversifié;31/12/2022;1 582 783;1 113 438 151
SAPHIR ASSET MANAGEMENT;SAPHIR QUIETUDE;FCP;Obligataire (OLMT);31/03/2023;6 214;26 383 666 613
SAPHIR ASSET MANAGEMENT;SAPHIR DYNAMIQUE;FCP;Diversifié;31/03/2023;5 527;424 846 342
SGCAMWA;SOGEPRIVILEGE;FCP;Diversifié;31/03/2023;4 027;3 759 487 032
SGCAMWA;SOGEAVENIR;FCP;Diversifié;31/03/2023;1 655;3 968 205 894
SGCAMWA;SOGEDEFI;FCP;Diversifié;31/03/2023;3 926;4 028 363 606
SGCAMWA;SOGEVALOR;FCP;Actions ;31/03/2023;3 370;4 438 716 776
SGCAMWA;SOGEDYNAMIQUE;FCP;Actions ;31/03/2023;3 839;5 224 139 152
SGCAMWA;SOGELIQUID;FCP;Monétaire (OCT);31/03/2023;10 735 292;24 118 302 807
SGCAMWA;SOGESECURITE;FCP;Obligataire (OLMT);31/03/2023;5 138;20 873 644 758
AFRICAINE DE GESTION D'ACTIFS;AGA CONFORT PLUS;FCP;Obligataire (OLMT);31/03/2023;1 265;7 623 109 546
AFRICAINE DE GESTION D'ACTIFS;AGA CAPITAL PLUS;FCP;Diversifié;31/03/2023;1 276;386 555 687
AFRICABOURSE ASSET MANAGEMENT;OBLIGATIS;FCP;Obligataire (OLMT);31/03/2023;8 733;34 379 378 555
AFRICABOURSE ASSET MANAGEMENT;CAPITAL SUR;FCP;Monétaire (OCT);31/03/2023;8 050;1 487 120 589
AFRICABOURSE ASSET MANAGEMENT;EPARGNE CROISSANCE;FCP;Diversifié;31/03/2023;7 804;5 739 166 650
AFRICABOURSE ASSET MANAGEMENT;EPARGNE ACTION;FCP;Actions ;31/03/2023;5 615;1 236 722 874
SOAGA;SOAGA EPARGNE SERENITE;FCP;Obligataire (OLMT);31/03/2023;14 381;41 857 717 782
SOAGA;SOAGA EPARGNE OBLIGATIONS;FCP;Obligataire (OLMT);31/03/2023;5 597;31 949 161 703
SOAGA;SICAV ABDOU DIOUF;SICAV;Diversifié;31/03/2023;14 942 890;21 219 802 391
SOAGA;SOAGA EPARGNE ACTIVE;FCP;Diversifié;31/03/2023;11 010;9 995 041 934
SOAGA;SOAGA EPARGNE ACTIONS;FCP;Actions ;31/03/2023;8 744;7 403 522 346
SOAGA;BOAD CAPITAL RETRAITE;FCP;Obligataire (OLMT);31/03/2023;11 957;758 271 033
SOAGA;SOAGA EPARGNE DYNAMIQUE;FCP;Actions ;31/03/2023;;
SOAGA;SOAGA EPARGNE QUIETUDE;FCP;Obligataire (OLMT);31/03/2023;;
BRIDGE ASSET MANAGEMENT;BRIDGE OBLIGATIONS;FCP;Obligataire (OLMT);31/03/2023;5 930;32 099 915 883
BRIDGE ASSET MANAGEMENT;BRIDGE EQUILIBRE;FCP;Diversifié;31/03/2023;28 627 595;3 720 433 662
BRIDGE ASSET MANAGEMENT;BRIDGE DIVERSIFIE CROISSANCE;FCP;Diversifié;31/03/2023;5 532;984 175 527
AFRICA ASSET MANAGEMENT;VALORIS;FCP;Actions ;31/03/2023;8 480;1 791 052 430
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP;Diversifié;31/03/2023;9 602;889 426 550
AFRICA ASSET MANAGEMENT;MAADO;FCPE;Diversifié;31/03/2023;5 155;51 843 127
AFRICA ASSET MANAGEMENT;CMT SONABEL;FCPE;Diversifié;31/03/2023;5 057;50 568 349
AFRICA ASSET MANAGEMENT;SECURITAS;FCP;Obligataire (OLMT);31/03/2023;7 304;1 252 820 444
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);BRM DYNAMIQUE;FCP;Diversifié;31/03/2023;14 039;433 135 564
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);BRM OBLIGATAIRE;FCP;Diversifié;31/03/2023;16 106;515 138 511
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);SDE;FCPE;Diversifié;31/03/2023;2 803;868 185 189
CORIS ASSET MANAGEMENT;CORIS ACTIONS;FCP;Actions ;31/03/2023;6 608;832 282 078
CORIS ASSET MANAGEMENT;ASSURANCES;FCP;Diversifié;31/03/2023;6 998;976 421 492
CORIS ASSET MANAGEMENT;CORIS PERFORMANCE;FCP;Monétaire (OCT);31/03/2023;5 463;636 464 396
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI OBLIG ; SICAV ; Obligataire (OLMT) ;31/03/2023;13 313;20 621 988 954
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI LIQUIDITE ; FCP ; Monétaire (OCT) ;31/03/2023;13 358;1 923 279 302
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI HORIZON ; FCP ; Obligataire (OLMT) ;31/03/2023;14 796;6 981 761 353
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI ACTIONS ; FCP ; Actions  ;31/03/2023;12 717;200 529 374
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI DIVERSIFIE ; FCP ; Diversifié ;31/03/2023;14 731;221 433 752
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI INVEST ; FCP ; Obligataire (OLMT) ;31/03/2023;13 961;23 453 164 146
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI PATRIMOINE ; FCP ; Obligataire (OLMT) ;31/03/2023;14 248;66 161 770 996
 ATTIJARI ASSET MANAGEMENT ; CRBC PROSPERITE ; FCP ; Obligataire (OLMT) ;31/03/2023;10 572;26 104 599 479
 ATTIJARI ASSET MANAGEMENT ; WAFA ASSURANCE UEMOA ; FCP ; Obligataire (OLMT) ;31/03/2023;;
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE CROISSANCE;FCP;Diversifié;31/03/2023;5 022;15 930 748 082
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE;FCP;Obligataire (OLMT);31/03/2023;6 541;79 335 373 954
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SERENITE;FCP;Obligataire (OLMT);31/03/2023;6 186;57 047 313 155
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE LIQUIDITE;FCP;Monétaire (OCT);31/03/2023;5 934;2 343 021 672
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE HORIZON;FCP;Diversifié;31/03/2023;6 854;265 506 629
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE ACTION;FCP;Actions ;31/03/2023;6 906;139 096 551
ATLANTIC ASSET MANAGEMENT;IFC ATLANTIQUE;FCP;Obligataire (OLMT);31/03/2023;1 175 359;7 222 140 020
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE PRESTIGE;FCP;Obligataire (OLMT);31/03/2023;;
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE PLUS;FCP;Obligataire (OLMT);31/03/2023;;
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE OBLIGATIONS;FCP;Obligataire (OLMT);31/03/2023;;
SGO MALI FINANCES;NYESIGUI;FCP;Diversifié;31/03/2023;12 074;587 076 508
SGO MALI FINANCES;ORANGE ML;FCPE;Diversifié;31/03/2023;29 148;3 536 443 081
SGO MALI FINANCES;TOUNKARANKE;FCP;Obligataire (OLMT);31/03/2023;113 697;835 778 925
NSIA ASSET MANAGEMENT;NSIA FONDS DIVERSIFIE;FCP;Diversifié;31/03/2023;5 582;10 701 596 733
NSIA ASSET MANAGEMENT;AURORE OPPORTUNITES;FCP;Actions ;31/03/2023;5 815;1 416 000 689
NSIA ASSET MANAGEMENT;EVOLUTIS;FCPE;Diversifié;31/03/2023;4 114;816 436 484
NSIA ASSET MANAGEMENT;AURORE SECURITE;FCP;Obligataire (OLMT);31/03/2023;5 391;11 239 194 078
NSIA ASSET MANAGEMENT;NSIA ASSURANCES OPTIMUM;FCP;Diversifié;31/03/2023;985 704;3 508 224 917
PHOENIXAFRICA ASSET MANAGEMENT;PAM ACTIONS;FCP;Actions ;31/03/2023;12 231;544 939 332
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE EQUILIBRE;FCP;Diversifié;31/03/2023;13 442;845 143 817
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE OBLIGATIONS;FCP;Diversifié;31/03/2023;12 738;1 918 642 643
SGA2E;SODECI;FCPE;Diversifié;31/03/2023;9 189;18 757 387 878
SGA2E;CIE;FCPE;Diversifié;31/03/2023;7 595;38 001 855 429
OPTI ASSET MANAGEMENT;OPTI PLACEMENT 1;FCP;Actions ;31/03/2023;15 778;708 368 312
OPTI ASSET MANAGEMENT;OPTI REVENU 2;FCP;Obligataire (OLMT);31/03/2023;8 344;9 180 201 468
OPTI ASSET MANAGEMENT;OPTI CAPITAL 3;FCP;Diversifié;31/03/2023;19 339;1 152 674 868
ENKO CAPITAL WEST AFRICA;ENKO CAPITAL GARANTI;FCP;Diversifié;31/03/2023;13 933;1 000 516 329
ENKO CAPITAL WEST AFRICA;PATRIMOINE;FCP;Obligataire (OLMT);31/03/2023;11 467;25 429 639 141
ENKO CAPITAL WEST AFRICA;ENKO CAPITAL OBLIGATIONS;FCP;Obligataire (OLMT);31/03/2023;10 532;636 054 353
BOA CAPITAL CAM;BOA PREMIUM;FCP;Diversifié;31/03/2023;74 221;158 038 357
BOA CAPITAL CAM;BOA ACTIONS;FCP;Actions ;31/03/2023;11 494;267 310 644
BOA CAPITAL CAM;SAHAM PERFORMANCE;FCP;Actions ;31/03/2023;133 242;331 239 889
BOA CAPITAL CAM;BOA INVESTMENT;FCP;Obligataire (OLMT);31/03/2023;37 067 161;4 750 705 920
BOA CAPITAL CAM;GLOBAL INVESTORS;FCP;Diversifié;31/03/2023;28 950;11 043 733 854
BOA CAPITAL CAM;EMERGENCE;FCP;Diversifié;31/03/2023;7 297;26 977 689 689
BOA CAPITAL CAM;BOA SECURITE;FCP;Obligataire (OLMT);31/03/2023;109 931;31 393 109 171
BOA CAPITAL CAM;BOA OBLIGATIONS;FCP;Obligataire (OLMT);31/03/2023;12 375;48 951 824 129
BOA CAPITAL CAM;BOA RENDEMENT;FCP;Obligataire (OLMT);31/03/2023;34 196 789;46 498 718 150
BNI GESTION;OBLIG SECURITE;FCP;Obligataire (OLMT);31/03/2023;9 754;113 464 064
BNI GESTION;KARIMA ETHIQUE;FCP;Diversifié;31/03/2023;1 655;101 430 704
BNI GESTION;CNRA;FCPE;Diversifié;31/03/2023;3 249;122 830 912
BNI GESTION;INITIATIVE SOLIDARITE;FCP;Diversifié;31/03/2023;4 655;149 921 392
BNI GESTION;BNI RETRAITE;FCPE;Diversifié;31/03/2023;4 122;277 022 436
BNI GESTION;SODEFOR COMPLEMENTAIRE RETRAITE;FCPE;Diversifié;31/03/2023;6 700;556 903 780
BNI GESTION;CAPITAL CROISSANCE;FCP;Diversifié;31/03/2023;;
BNI GESTION;DYNAMIC SAVINGS;FCP;Actions ;31/03/2023;;
CGF GESTION;DIASPORA;FCP;Diversifié;31/03/2023;1 151;2 646 749 834
CGF GESTION;WALO;FCP;Actions ;31/03/2023;1 165;268 248 072
CGF GESTION;DJOLOF;FCP;Obligataire (OLMT);31/03/2023;1 160;584 151 761
CGF GESTION;SINI GNESIGUI;FCP;Diversifié;31/03/2023;1 500;456 796 013
CGF GESTION;ASSUR SENEGAL;FCP;Diversifié;31/03/2023;1 201 813;909 368 316
CGF GESTION;FORCE PAD;FCP;Diversifié;31/03/2023;1 807;1 390 972 024
CGF GESTION;DP WORLD DAKAR;FCP;Diversifié;31/03/2023;1 233;1 553 001 742
CGF GESTION;ACTIONS PHARMACIE;FCP;Diversifié;31/03/2023;1 016;1 368 618 302
CGF GESTION;RENTE PERPETUELLE;FCP;Diversifié;31/03/2023;1 097;1 756 314 853
CGF GESTION;POSTEFINANCES HORIZON;FCP;Diversifié;31/03/2023;1 868;2 711 730 824
CGF GESTION;AL BARAKA;FCP;Actions ;31/03/2023;1 134;2 602 527 362
CGF GESTION;PLACEMENT AVANTAGE;FCP;Monétaire (OCT);31/03/2023;1 545;2 521 172 127
CGF GESTION;EXPAT;FCP;Obligataire (OLMT);31/03/2023;1 131;2 210 702 682
CGF GESTION;BNDE VALEURS;FCP;Actions ;31/03/2023;1 156;3 805 740 543
CGF GESTION;PLACEMENT CROISSANCE;FCP;Actions ;31/03/2023;1 313;3 780 968 769
CGF GESTION;IFC-BOAD;FCP;Obligataire (OLMT);31/03/2023;128 044;6 246 398 287
CGF GESTION;CAPITAL RETRAITE;FCP;Diversifié;31/03/2023;1 137;5 267 509 617
CGF GESTION;AL BARAKA 2;FCP;Diversifié;31/03/2023;1 166;4 851 423 409
CGF GESTION;FCPCR SONATEL;FCPE;Diversifié;31/03/2023;7 103;16 589 005 634
CGF GESTION;LIQUIDITE-OPTIMUM;FCP;Obligataire (OLMT);31/03/2023;12 091;10 000 871 884
CGF GESTION;PLACEMENT QUIETUDE;FCP;Obligataire (OLMT);31/03/2023;1 560;22 696 006 136
EDC ASSET MANAGEMENT;ECOBANK ACTIONS UEMOA;FCP;Actions ;31/03/2023;3 711;509 234 993
EDC ASSET MANAGEMENT;ECOBANK OBLIGATAIRE UEMOA;SICAV;Obligataire (OLMT);31/03/2023;20 849;208 807 190 619
EDC ASSET MANAGEMENT;ECOBANK UEMOA DIVERSIFIE;FCP;Diversifié;31/03/2023;7 438;6 755 629 104
EDC ASSET MANAGEMENT;ECOBANK UEMOA RENDEMENT;FCP;Diversifié;31/03/2023;1 589 254;865 711 581
SAPHIR ASSET MANAGEMENT;SAPHIR QUIETUDE;FCP;Obligataire (OLMT);30/06/2023;6 270;25 279 228 412
SAPHIR ASSET MANAGEMENT;SAPHIR DYNAMIQUE;FCP;Diversifié;30/06/2023;5 744;428 738 430
SGCAMWA;SOGEPRIVILEGE;FCP;Diversifié;30/06/2023;4 110;3 805 037 855
SGCAMWA;SOGEAVENIR;FCP;Diversifié;30/06/2023;1 719;4 056 897 256
SGCAMWA;SOGEDEFI;FCP;Diversifié;30/06/2023;3 986;4 077 825 666
SGCAMWA;SOGEVALOR;FCP;Actions ;30/06/2023;3 494;4 591 277 163
SGCAMWA;SOGEDYNAMIQUE;FCP;Actions ;30/06/2023;3 983;5 336 017 964
SGCAMWA;SOGELIQUID;FCP;Monétaire (OCT);30/06/2023;10 841 709;24 357 761 936
