N°,Gestionnaire,Nom de l'OPC,Type d'OPC,Catégorie,Date,Valeur Liquidative,Actif net
21,CGF GESTION,FCP PLACEMENT QUIETUDE,FCP,Obligataire (OLMT),2023-03-31,1559.64634053949,22696006136
1,EDC ASSET MANAGEMENT,ECOBANK ACTIONS UEMOA,FCP,Actions ,2023-03-31,3711,509234993
2,EDC ASSET MANAGEMENT,ECOBANK OBLIGATAIRE UEMOA,SICAV,Obligataire (OLMT),2023-03-31,20849,208807190619
3,EDC ASSET MANAGEMENT,ECOBANK UEMOA DIVERSIFIE,FCP,Diversifié,2023-03-31,7438,6755629104
4,EDC ASSET MANAGEMENT,ECOBANK UEMOA RENDEMENT,FCP,Diversifié,2023-03-31,1589254,865711581
1,SAPHIR ASSET MANAGEMENT, SAPHIR QUIETUDE,FCP,Obligataire (OLMT),2023-06-30,6270.08,25279228412
2,SAPHIR ASSET MANAGEMENT, SAPHIR DYNAMIQUE,FCP,Diversifié,2023-06-30,5744.1,428738430
1,SGCAMWA,SOGEPRIVILEGE,FCP,Diversifié,2023-06-30,4110,3805037855
2,SGCAMWA,SOGEAVENIR,FCP,Diversifié,2023-06-30,1719,4056897256
3,SGCAMWA,SOGEDEFI,FCP,Diversifié,2023-06-30,3986,4077825666
4,SGCAMWA,SOGEVALOR,FCP,Actions ,2023-06-30,3494,4591277163
5,SGCAMWA,SOGEDYNAMIQUE,FCP,Actions ,2023-06-30,3983,5336017964
6,SGCAMWA,SOGELIQUID,FCP,Monétaire (OCT),2023-06-30,10841709,24357761936
7,SGCAMWA,SOGESECURITE,FCP,Obligataire (OLMT),2023-06-30,5195,23378755742
1,AFRICAINE DE GESTION D'ACTIFS, AGA CONFORT PLUS,FCP,Obligataire (OLMT),2023-06-30,1277.93,7944713520
2,AFRICAINE DE GESTION D'ACTIFS, AGA CAPITAL PLUS,FCP,Diversifié,2023-06-30,1296.03,392041491
1,AFRICABOURSE ASSET MANAGEMENT,OBLIGATIS,FCP,Obligataire (OLMT),2023-06-30,8752.6,34946264285.99
2,AFRICABOURSE ASSET MANAGEMENT,CAPITAL SUR,FCP,Monétaire (OCT),2023-06-30,8149.36,461899009.38
3,AFRICABOURSE ASSET MANAGEMENT,EPARGNE CROISSANCE,FCP,Diversifié,2023-06-30,8065.08,5921763384
4,AFRICABOURSE ASSET MANAGEMENT,EPARGNE ACTION,FCP,Actions ,2023-06-30,5823.31,1265040744.38
1,SOAGA,SOAGA EPARGNE SERENITE,FCP,Obligataire (OLMT),2023-06-30,14513.9848,46694040276.5705
2,SOAGA,SOAGA EPARGNE OBLIGATIONS,FCP,Obligataire (OLMT),2023-06-30,5653.9629,39002209077.9114
3,SOAGA,SICAV-ABDOU DIOUF,SICAV,Diversifié,2023-06-30,15097864.927,21455486770.4536
4,SOAGA,SOAGA EPARGNE ACTIVE,FCP,Diversifié,2023-06-30,11004.327,12367899149.7757
5,SOAGA,SOAGA EPARGNE ACTIONS,FCP,Actions ,2023-06-30,8726.3974,5641150104.9324
6,SOAGA,BOAD CAPITAL RETRAITE,FCP,Obligataire (OLMT),2023-06-30,12222.6718,799019771.325
7,SOAGA,SOAGA EPARGNE DYNAMIQUE,FCP,Actions ,2023-06-30,5150.367,119035043.3178
8,SOAGA,SOAGA EPARGNE QUIETUDE,FCP,Obligataire (OLMT),2023-06-30,5131.9637,147441973.1837
1,BRIDGE ASSET MANAGEMENT, BRIDGE OBLIGATIONS,FCP,Obligataire (OLMT),2023-06-30,5973,36546101755.894
2,BRIDGE ASSET MANAGEMENT, BRIDGE EQUILIBRE,FCP,Diversifié,2023-06-30,29699838.955,3657428247.899
3,BRIDGE ASSET MANAGEMENT, BRIDGE DIVERSIFIE CROISSANCE,FCP,Diversifié,2023-06-30,5759.23,918301692.987
1,AFRICA ASSET MANAGEMENT, VALORIS,FCP,Actions ,2023-06-30,8889.3226,1875327096
2,AFRICA ASSET MANAGEMENT, EXPANSIO,FCP,Diversifié,2023-06-30,9719.3588,901130994
3,AFRICA ASSET MANAGEMENT,MAADO,FCPE,Diversifié,2023-06-30,5185.9867,52156906
4,AFRICA ASSET MANAGEMENT, CMT SONABEL,FCPE,Diversifié,2023-06-30,5054.5614,50545614
5,AFRICA ASSET MANAGEMENT, SECURITAS,FCP,Obligataire (OLMT),2023-06-30,7354.8047,1245072172
1,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),BRM DYNAMIQUE,FCP,Diversifié,2023-06-30,14349.11,442698608
2,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT), BRM OBLIGATAIRE,FCP,Diversifié,2023-06-30,16330.67,522320036
3,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT), SDE,FCPE,Diversifié,2023-06-30,2807.75,859948820
1,CORIS ASSET MANAGEMENT,CORIS ACTIONS ,FCP,Actions ,2023-06-30,6715.7106,846777233
2,CORIS ASSET MANAGEMENT,ASSURANCES,FCP,Diversifié,2023-06-30,7067.9063,987393574
3,CORIS ASSET MANAGEMENT,CORIS PERFOMANCE,FCP,Monétaire (OCT),2023-06-30,5514.2312,643924343
1,ATTIJARI ASSET MANAGEMENT,ATTIJARI OBLIG,SICAV,Obligataire (OLMT),2023-06-30,13391.26,48914177700.91
2,ATTIJARI ASSET MANAGEMENT,ATTIJARI LIQUIDITE,FCP,Monétaire (OCT),2023-06-30,13498.03,1567067471.39
3,ATTIJARI ASSET MANAGEMENT,ATTIJARI HORIZON,FCP,Obligataire (OLMT),2023-06-30,15035.98,15392232176.91
4,ATTIJARI ASSET MANAGEMENT,ATTIJARI ACTIONS,FCP,Actions ,2023-06-30,13820.27,217918035.73
5,ATTIJARI ASSET MANAGEMENT,ATTIJARI DIVERSIFIE,FCP,Diversifié,2023-06-30,15552.03,233778182.7
6,ATTIJARI ASSET MANAGEMENT,ATTIJARI INVEST,FCP,Obligataire (OLMT),2023-06-30,14144.73,22502740772.67
7,ATTIJARI ASSET MANAGEMENT,ATTIJARI PATRIMOINE,FCP,Obligataire (OLMT),2023-06-30,14379.41,61308479586.73
8,ATTIJARI ASSET MANAGEMENT,CRBC PROSPERITE,FCP,Obligataire (OLMT),2023-06-30,10713.95,26455943997.35
9,ATTIJARI ASSET MANAGEMENT,WAFA ASSURANCE UEMOA,FCP,Obligataire (OLMT),2023-06-30,10052.18,100521766.97
1,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE CROISSANCE,FCP,Diversifié,2023-06-30,5050.9253,15908136734.9999
2,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE,FCP,Obligataire (OLMT),2023-06-30,6582.1307,55969085062.9992
3,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SERENITE,FCP,Obligataire (OLMT),2023-06-30,6219.2633,37479520085.9997
4,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE LIQUIDITE ,FCP,Monétaire (OCT),2023-06-30,6010.0269,2810132587
5,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE HORIZON ,FCP,Diversifié,2023-06-30,7144.3143,171019073
6,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE ACTION,FCP,Actions ,2023-06-30,7430.6294,150956552
7,ATLANTIC ASSET MANAGEMENT,FCP IFC ATLANTIQUE,FCP,Obligataire (OLMT),2023-06-30,1187067.8322,7294088172
8,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE PRESTIGE,FCP,Obligataire (OLMT),2023-06-30,1053210.4687,20306442943
9,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE PLUS,FCP,Obligataire (OLMT),2023-06-30,10531.9776,26599385210.9999
10,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE OBLIGATIONS,FCP,Obligataire (OLMT),2023-06-30,10675.1447,209439971
1,SGO MALI FINANCES,NYESIGUI,FCP,Diversifié,2023-06-30,12152.6418,590919188
2,SGO MALI FINANCES,ORANGE MALI,FCPE,Diversifié,2023-06-30,29125.4184,3514600902
3,SGO MALI FINANCES,TOUNKARANKE,FCP,Obligataire (OLMT),2023-06-30,114037.1517,838276311
1,NSIA ASSET MANAGEMENT,NSIA FONDS DIVERSIFIE,FCP,Diversifié,2023-06-30,5583.3607010317,13887361133
2,NSIA ASSET MANAGEMENT,AURORE OPPORTUNITES,FCP,Actions ,2023-06-30,5827.970577792,1420673798
3,NSIA ASSET MANAGEMENT,EVOLUTIS,FCPE,Diversifié,2023-06-30,4207.7125352848,944885392
4,NSIA ASSET MANAGEMENT,AURORE SECURITE,FCP,Obligataire (OLMT),2023-06-30,5461.2799695932,16041641175
5,NSIA ASSET MANAGEMENT,NSIA ASSURANCE OPTIMUM,FCP,Diversifié,2023-06-30,984163.902708733,3502742726
1,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM ACTIONS,FCP,Actions ,2023-06-30,12587.8736330695,561276501
2,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE EQUILIBRE,FCP,Diversifié,2023-06-30,13555.0449229713,879834161.863361
3,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE OBLIGATIONS,FCP,Diversifié,2023-06-30,12832.2911045502,1946365087.71749
1,SGA2E,SODECI,FCPE,Diversifié,2023-06-30,9308.5236,18867115132
2,SGA2E,CIE,FCPE,Diversifié,2023-06-30,7692.9520728036,38424110062
1,OPTI ASSET MANAGEMENT,FCP1 OPTI PLACEMENT,FCP,Actions ,2023-06-30,15606.8,682565518.1603
2,OPTI ASSET MANAGEMENT,FCP2 OPTI REVENU,FCP,Obligataire (OLMT),2023-06-30,8394.78,9446942601.8718
3,OPTI ASSET MANAGEMENT,FCP3 OPTI CAPITAL,FCP,Diversifié,2023-06-30,19096.08,1137344960.3846
1,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL GARANTI,FCP,Diversifié,2023-06-30,14591.2177,1047766160
2,ENKO CAPITAL WEST AFRICA,PATRIMOINE,FCP,Obligataire (OLMT),2023-06-30,11623.3844,25776888996
3,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL OBLIGATIONS,FCP,Obligataire (OLMT),2023-06-30,10736.2694,2217619383
1,BOA CAPITAL CAM, BOA PREMIUM,FCP,Diversifié,2023-06-30,77997.96,167009354.101883
2,BOA CAPITAL CAM, BOA ACTIONS,FCP,Actions ,2023-06-30,12098.16,280764912.902761
3,BOA CAPITAL CAM, SAHAM PERFORMANCE,FCP,Actions ,2023-06-30,140417.085888457,349076875.518704
4,BOA CAPITAL CAM, BOA INVESTMENT,FCP,Obligataire (OLMT),2023-06-30,37736346.69,11848454231.4338
5,BOA CAPITAL CAM, GLOBAL INVESTORS,FCP,Diversifié,2023-06-30,30038.1491498939,10625002029
6,BOA CAPITAL CAM, EMERGENCE,FCP,Diversifié,2023-06-30,7407.04987913265,26569696620.741
7,BOA CAPITAL CAM, BOA SECURITE,FCP,Obligataire (OLMT),2023-06-30,111328.854115766,31859561712.0502
8,BOA CAPITAL CAM, BOA OBLIGATIONS,FCP,Obligataire (OLMT),2023-06-30,12540.52,50018850383.3401
9,BOA CAPITAL CAM,BOA RENDEMENT,FCP,Obligataire (OLMT),2023-06-30,34642872.63,46089380074.0525
1,BNI GESTION,OBLIG SECURITE,FCP,Obligataire (OLMT),2023-06-30,9894.23,114773069
2,BNI GESTION,KARIMA ETHIQUE,FCP,Diversifié,2023-06-30,1890.07,115855686
3,BNI GESTION,CNRA,FCPE,Diversifié,2023-06-30,3263.98,123411010
4,BNI GESTION,INITIATIVE SOLIDARITE,FCP,Diversifié,2023-06-30,5121.43,164956178
5,BNI GESTION,BNI RETRAITE,FCPE,Diversifié,2023-06-30,4170.15,288503185
6,BNI GESTION,SODEFOR COMPLEMENTAIRE RETRAITE,FCPE,Diversifié,2023-06-30,7065.13,578163408
7,BNI GESTION,CAPITAL CROISSANCE,FCP,Diversifié,2023-06-30,,
8,BNI GESTION,DYNAMIC SAVINGS ,FCP,Actions ,2023-06-30,,
1,CGF GESTION,FCP DIASPORA,FCP,Diversifié,2023-06-30,1180.21684409463,8602229103
2,CGF GESTION,FCP WALO,FCP,Actions ,2023-06-30,1174.0005962861,973372547
3,CGF GESTION,FCP DJOLOF,FCP,Obligataire (OLMT),2023-06-30,1175.55113623794,794785579
4,CGF GESTION,FCPE SINI GNESIGUI,FCP,Diversifié,2023-06-30,1531.38935960995,451282565
5,CGF GESTION,FCP ASSUR SENEGAL,FCP,Diversifié,2023-06-30,1204824.2364418,1194689014
6,CGF GESTION,FCPE FORCE PAD,FCP,Diversifié,2023-06-30,1834.5215,1411809251
7,CGF GESTION,FCPE DP WORLD DAKAR,FCP,Diversifié,2023-06-30,1218.78600408729,1766398659
8,CGF GESTION,FCP ACTIONS PHARMACIE,FCP,Diversifié,2023-06-30,1007.75761209084,1657654244
9,CGF GESTION,FCP RENTE PERPETUELLE,FCP,Diversifié,2023-06-30,1097.57030878766,5345604435
10,CGF GESTION,FCP POSTEFINANCES HORIZON,FCP,Diversifié,2023-06-30,1879.25549184782,2728705647
11,CGF GESTION,FCP AL BARAKA,FCP,Actions ,2023-06-30,1067.23691836256,2106525360
12,CGF GESTION,FCP PLACEMENT AVANTAGE,FCP,Monétaire (OCT),2023-06-30,1540.2505785798,2515417232
13,CGF GESTION,FCP EXPAT,FCP,Obligataire (OLMT),2023-06-30,1132.52073196132,2778148338
14,CGF GESTION,FCP BNDE VALEURS,FCP,Actions ,2023-06-30,1147.81777699904,3363120292
15,CGF GESTION,FCP PLACEMENT CROISSANCE,FCP,Actions ,2023-06-30,1331.87540360403,3808155632
16,CGF GESTION,FCP IFC-BOAD,FCP,Obligataire (OLMT),2023-06-30,128234.239867878,6255672890
17,CGF GESTION,FCP CAPITAL RETRAITE,FCP,Diversifié,2023-06-30,1130.34768902129,6644542457
18,CGF GESTION,FCP AL BARAKA 2,FCP,Diversifié,2023-06-30,1164.35379956769,4401427360
19,CGF GESTION,FCPCR SONATEL,FCPE,Diversifié,2023-06-30,7289.4016603443,17691349366
20,CGF GESTION,FCP LIQUIDITE-OPTIMUM,FCP,Obligataire (OLMT),2023-06-30,12087.7113579702,12150172317
21,CGF GESTION,FCP PLACEMENT QUIETUDE,FCP,Obligataire (OLMT),2023-06-30,1563.972150067,21873334932
1,EDC ASSET MANAGEMENT,ECOBANK ACTIONS UEMOA,FCP,Actions ,2023-06-30,3755,515492018
2,EDC ASSET MANAGEMENT,ECOBANK OBLIGATAIRE UEMOA,SICAV,Obligataire (OLMT),2023-06-30,20287,203305265228
3,EDC ASSET MANAGEMENT,ECOBANK UEMOA DIVERSIFIE,FCP,Diversifié,2023-06-30,7563,6840186871
4,EDC ASSET MANAGEMENT,ECOBANK UEMOA RENDEMENT,FCP,Diversifié,2023-06-30,1622493,715805802
1,SAPHIR ASSET MANAGEMENT,SAPHIR QUIETUDE,FCP,Obligataire (OLMT),2023-09-30,6335.7,24996095271
2,SAPHIR ASSET MANAGEMENT,SAPHIR DYNAMIQUE,FCP,Diversifié,2023-09-30,5951.83,448142819
1,SGCAMWA,SOGEPRIVILEGE,FCP,Diversifié,2023-09-30,4080,3653503856
2,SGCAMWA,SOGEAVENIR,FCP,Diversifié,2023-09-30,1735,4089192781
3,SGCAMWA,SOGEDEFI,FCP,Diversifié,2023-09-30,3950,4029668337
4,SGCAMWA,SOGEVALOR,FCP,Actions ,2023-09-30,3560,4631583213
5,SGCAMWA,SOGEDYNAMIQUE,FCP,Actions ,2023-09-30,3998,5338087433
6,SGCAMWA,SOGELIQUID,FCP,Monétaire (OCT),2023-09-30,10551589,32142308720
7,SGCAMWA,SOGESECURITE,FCP,Obligataire (OLMT),2023-09-30,4939,36748363703
8,SGCAMWA,ALLIANZ AFRICA,FCPR,Actifs non cotés,2023-09-30,99346125,5011525600
1,AFRICAINE DE GESTION D'ACTIFS,AGA CONFORT PLUS,FCP,Obligataire (OLMT),2023-09-30,1293.09,8124577939
2,AFRICAINE DE GESTION D'ACTIFS,AGA CAPITAL PLUS,FCP,Diversifié,2023-09-30,1300.01,385486422
1,AFRICABOURSE ASSET MANAGEMENT,OBLIGATIS,FCP,Obligataire (OLMT),2023-09-30,8832.78,36507631626.92
2,AFRICABOURSE ASSET MANAGEMENT,CAPITAL SUR,FCP,Monétaire (OCT),2023-09-30,8220.72,290058133
3,AFRICABOURSE ASSET MANAGEMENT,EPARGNE CROISSANCE,FCP,Diversifié,2023-09-30,8367.2,6064131400
4,AFRICABOURSE ASSET MANAGEMENT,EPARGNE ACTION,FCP,Actions ,2023-09-30,6064.97,1313564112
1,SOAGA,SOAGA EPARGNE SERENITE,FCP,Obligataire (OLMT),2023-09-30,14779.8344,46699248834.0032
2,SOAGA,SOAGA EPARGNE OBLIGATIONS,FCP,Obligataire (OLMT),2023-09-30,5718.9068,39709751073.5419
3,SOAGA,SICAV-ABDOU DIOUF,SICAV,Diversifié,2023-09-30,14807931.0025,21068632421.2182
4,SOAGA,SOAGA EPARGNE ACTIVE,FCP,Diversifié,2023-09-30,11298.0052,12036305487.8762
5,SOAGA,SOAGA EPARGNE ACTIONS,FCP,Actions ,2023-09-30,8923.7653,5147032589.2453
6,SOAGA,BOAD CAPITAL RETRAITE,FCP,Obligataire (OLMT),2023-09-30,12504.7627,800211479.7852
7,SOAGA,SOAGA EPARGNE DYNAMIQUE,FCP,Actions ,2023-09-30,5460.5637,495718502.8214
8,SOAGA,SOAGA EPARGNE QUIETUDE,FCP,Obligataire (OLMT),2023-09-30,5402.0319,4218391215.4223
1,BRIDGE ASSET MANAGEMENT,BRIDGE OBLIGATIONS,FCP,Obligataire (OLMT),2023-09-30,6074.4,37541500260
2,BRIDGE ASSET MANAGEMENT,BRIDGE EQUILIBRE,FCP,Diversifié,2023-09-30,30629056.64,3771858060
3,BRIDGE ASSET MANAGEMENT,BRIDGE DIVERSIFIE CROISSANCE,FCP,Diversifié,2023-09-30,6022.76,960940316.9
1,AFRICA ASSET MANAGEMENT,VALORIS,FCP,Actions ,2023-09-30,9245.7055,1951985121
2,AFRICA ASSET MANAGEMENT,EXPANSIO,FCP,Diversifié,2023-09-30,9869.321,917686299
3,AFRICA ASSET MANAGEMENT,MAADO,FCPE,Diversifié,2023-09-30,5257.8614,52879769
4,AFRICA ASSET MANAGEMENT,CMT SONABEL,FCPE,Diversifié,2023-09-30,5126.3686,51263686
5,AFRICA ASSET MANAGEMENT,SECURITAS,FCP,Obligataire (OLMT),2023-09-30,7321.962,1240597084
1,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),BRM DYNAMIQUE,FCP,Diversifié,2023-09-30,14446.06,439117089
2,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),BRM OBLIGATAIRE,FCP,Diversifié,2023-09-30,16488.55,527369869.605
3,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),SDE,FCPE,Diversifié,2023-09-30,2808.89,824032927.28
1,CORIS ASSET MANAGEMENT,CORIS ACTIONS ,FCP,Actions ,2023-09-30,6831.5932,857501583
2,CORIS ASSET MANAGEMENT,ASSURANCES,FCP,Diversifié,2023-09-30,5563.9028,650698436
3,CORIS ASSET MANAGEMENT,CORIS PERFOMANCE,FCP,Monétaire (OCT),2023-09-30,7199.6875,992138542
1,ATTIJARI ASSET MANAGEMENT,ATTIJARI OBLIG,SICAV,Obligataire (OLMT),2023-09-30,13611.94,21084819331.67
2,ATTIJARI ASSET MANAGEMENT,ATTIJARI LIQUIDITE,FCP,Monétaire (OCT),2023-09-30,13829.07,1588821298.54
3,ATTIJARI ASSET MANAGEMENT,ATTIJARI HORIZON,FCP,Obligataire (OLMT),2023-09-30,15210.54,22075005184.19
4,ATTIJARI ASSET MANAGEMENT,ATTIJARI ACTIONS,FCP,Actions ,2023-09-30,14575.1,226467861.36
5,ATTIJARI ASSET MANAGEMENT,ATTIJARI DIVERSIFIE,FCP,Diversifié,2023-09-30,16153.19,242814690.11
6,ATTIJARI ASSET MANAGEMENT,ATTIJARI INVEST,FCP,Obligataire (OLMT),2023-09-30,14389.87,23853251565.86
7,ATTIJARI ASSET MANAGEMENT,ATTIJARI PATRIMOINE,FCP,Obligataire (OLMT),2023-09-30,14549.22,57214087602.9
8,ATTIJARI ASSET MANAGEMENT,CRBC PROSPERITE,FCP,Obligataire (OLMT),2023-09-30,10934.22,26999851787.96
9,ATTIJARI ASSET MANAGEMENT,WAFA ASSURANCE UEMOA,FCP,Obligataire (OLMT),2023-09-30,10144.06,101440633.56
1,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE CROISSANCE,FCP,Diversifié,2023-09-30,5130.3517,15342435110.9998
2,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE,FCP,Obligataire (OLMT),2023-09-30,6704.966,56433331961.9998
3,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SERENITE,FCP,Obligataire (OLMT),2023-09-30,6329.2946,37664117433.9998
4,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE LIQUIDITE ,FCP,Monétaire (OCT),2023-09-30,6085.4699,2740029357
5,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE HORIZON ,FCP,Diversifié,2023-09-30,7597.0375,180433418
6,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE ACTION,FCP,Actions ,2023-09-30,7854.3946,159096676
7,ATLANTIC ASSET MANAGEMENT,FCP IFC ATLANTIQUE,FCP,Obligataire (OLMT),2023-09-30,1206973.2425,7416399478
8,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE PRESTIGE,FCP,Obligataire (OLMT),2023-09-30,1071283.1618,46661313197
9,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE PLUS,FCP,Obligataire (OLMT),2023-09-30,10677.0381,38301306566.9999
10,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE OBLIGATIONS,FCP,Obligataire (OLMT),2023-09-30,10763.5447,211174326
1,SGO MALI FINANCES,NYESIGUI,FCP,Diversifié,2023-09-30,12288.871,688806162
2,SGO MALI FINANCES,ORANGE MALI,FCPE,Diversifié,2023-09-30,30531.1976,3692680445
3,SGO MALI FINANCES,TOUNKARANKE,FCP,Obligataire (OLMT),2023-09-30,115168.071,844676850
1,NSIA ASSET MANAGEMENT,NSIA FONDS DIVERSIFIE,FCP,Diversifié,2023-09-30,5772.5323,15015204895
2,NSIA ASSET MANAGEMENT,AURORE OPPORTUNITES,FCP,Actions ,2023-09-30,6096.993919756,2236452525
3,NSIA ASSET MANAGEMENT,EVOLUTIS,FCPE,Diversifié,2023-09-30,4510.5139674481,1010963223
4,NSIA ASSET MANAGEMENT,AURORE SECURITE,FCP,Obligataire (OLMT),2023-09-30,5553.2283881309,22700144790
5,NSIA ASSET MANAGEMENT,NSIA ASSURANCE OPTIMUM,FCP,Diversifié,2023-09-30,1012135.92564204,2683155999
1,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM ACTIONS,FCP,Actions ,2023-09-30,13472.89,559168979
2,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE EQUILIBRE,FCP,Diversifié,2023-09-30,13975.17,924015176
3,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE OBLIGATIONS,FCP,Diversifié,2023-09-30,13024.11,1988960357
1,SGA2E,SODECI,FCPE,Diversifié,2023-09-30,9520.4494,19279057635
2,SGA2E,CIE,FCPE,Diversifié,2023-09-30,7839.1338399464,39058492362
1,OPTI ASSET MANAGEMENT,FCP1 OPTI PLACEMENT,FCP,Actions ,2023-09-30,16222.19,697426728
2,OPTI ASSET MANAGEMENT,FCP2 OPTI REVENU,FCP,Obligataire (OLMT),2023-09-30,8515.07,9639942115
3,OPTI ASSET MANAGEMENT,FCP3 OPTI CAPITAL,FCP,Diversifié,2023-09-30,19237.82,1126534264
1,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL GARANTI,FCP,Diversifié,2023-09-30,15118.8393,1085653616
2,ENKO CAPITAL WEST AFRICA,PATRIMOINE,FCP,Obligataire (OLMT),2023-09-30,11785.1209,26135567897
3,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL OBLIGATIONS,FCP,Obligataire (OLMT),2023-09-30,10874.1273,2793889528
1,BOA CAPITAL CAM,BOA PREMIUM,FCP,Diversifié,2023-09-30,81362.216908467,174662673
2,BOA CAPITAL CAM,BOA ACTIONS,FCP,Actions ,2023-09-30,12974.1035522948,369679576
3,BOA CAPITAL CAM,SAHAM PERFORMANCE,FCP,Actions ,2023-09-30,149789.025744167,372375518
4,BOA CAPITAL CAM, BOA INVESTMENT,FCP,Obligataire (OLMT),2023-09-30,38540889.9618139,19485325799
5,BOA CAPITAL CAM, GLOBAL INVESTORS,FCP,Diversifié,2023-09-30,31021.8361744845,10455236563
6,BOA CAPITAL CAM, EMERGENCE,FCP,Diversifié,2023-09-30,7380.617409874,27300288475
7,BOA CAPITAL CAM, BOA SECURITE,FCP,Obligataire (OLMT),2023-09-30,110705.23656929,36860070095
8,BOA CAPITAL CAM, BOA OBLIGATIONS,FCP,Obligataire (OLMT),2023-09-30,12418.2509243743,49402819921
9,BOA CAPITAL CAM,BOA RENDEMENT,FCP,Obligataire (OLMT),2023-09-30,35056188.2298912,48865569548
1,BNI GESTION,OBLIG SECURITE,FCP,Obligataire (OLMT),2023-09-30,9999,119038258
2,BNI GESTION,KARIMA ETHIQUE,FCP,Diversifié,2023-09-30,1968,120621846
3,BNI GESTION,CNRA,FCP,Diversifié,2023-09-30,3283,124126717
4,BNI GESTION,INITIATIVE SOLIDARITE,FCP,Diversifié,2023-09-30,5165,166347599
5,BNI GESTION,BNI RETRAITE,FCPE,Diversifié,2023-09-30,4220,327353677
6,BNI GESTION,SODEFOR COMPLEMENTAIRE RETRAITE,FCPE,Diversifié,2023-09-30,6584,538733514
7,BNI GESTION,CAPITAL CROISSANCE,FCP,Diversifié,2023-09-30,,
8,BNI GESTION,DYNAMIC SAVINGS ,FCP,Actions ,2023-09-30,,
1,CGF GESTION,FCP DIASPORA,FCP,Diversifié,2023-09-30,1186.12728715059,9932813777
2,CGF GESTION,FCP WALO,FCP,Actions ,2023-09-30,1180.02855465362,1279728328
3,CGF GESTION,FCP DJOLOF,FCP,Obligataire (OLMT),2023-09-30,1188.87561709449,803794209
4,CGF GESTION,FCPE SINI GNESIGUI,FCP,Diversifié,2023-09-30,1556.31858427187,467529471
5,CGF GESTION,FCP ASSUR SENEGAL,FCP,Diversifié,2023-09-30,1217992.68241825,1479584503
6,CGF GESTION,FCPE FORCE PAD,FCP,Diversifié,2023-09-30,1878.78879439301,1501080080
7,CGF GESTION,FCPE DP WORLD DAKAR,FCP,Diversifié,2023-09-30,1224.10155826068,1798922854
8,CGF GESTION,FCP ACTIONS PHARMACIE,FCP,Diversifié,2023-09-30,1015.20159588695,1667186689
9,CGF GESTION,FCP RENTE PERPETUELLE,FCP,Diversifié,2023-09-30,1101.76625010668,5477539311
10,CGF GESTION,FCP POSTEFINANCES HORIZON,FCP,Diversifié,2023-09-30,1911.15737865696,2101921992
11,CGF GESTION,FCP AL BARAKA,FCP,Actions ,2023-09-30,1017.27134466556,1698079716
12,CGF GESTION,FCP PLACEMENT AVANTAGE,FCP,Monétaire (OCT),2023-09-30,1544.24482096837,1980329939
13,CGF GESTION,FCP EXPAT,FCP,Obligataire (OLMT),2023-09-30,1126.85017900628,2873679401
14,CGF GESTION,FCP BNDE VALEURS,FCP,Actions ,2023-09-30,1154.91890165818,4580816586
15,CGF GESTION,FCP PLACEMENT CROISSANCE,FCP,Actions ,2023-09-30,1353.50568652595,3154675989
